0.648000 0.636337   0.175000 0.172896   
0.681000 0.638493   0.191000 0.189142   
0.719000 0.638349   0.210000 0.210124   
0.750000 0.646273   0.217000 0.236427   
0.750000 0.636692   0.198000 0.261642   
0.750000 0.624403   0.183000 0.273906   
0.750000 0.611955   0.168000 0.289634   
0.750000 0.599024   0.154000 0.306923   
0.649000 0.586055   0.141000 0.325546   
0.527000 0.588368   0.124000 0.311179   
0.441000 0.582340   0.102000 0.288557   
0.391000 0.561171   0.098000 0.276927   
0.413000 0.538630   0.116000 0.279862   
0.423000 0.528759   0.220000 0.311709   
0.440000 0.535508   0.342000 0.359320   
0.451000 0.544004   0.423000 0.429680   
0.467000 0.550074   0.411000 0.500624   
0.481000 0.521348   0.402000 0.513759   
0.457000 0.493820   0.396000 0.525089   
0.411000 0.481770   0.393000 0.511392   
0.359000 0.445223   0.392000 0.510166   
0.354000 0.402420   0.429000 0.508266   
0.347000 0.385079   0.471000 0.532118   
0.337000 0.367588   0.517000 0.555188   
0.324000 0.349576   0.564000 0.575704   
0.308000 0.331806   0.610000 0.591473   
0.289000 0.313666   0.653000 0.602167   
0.266000 0.296283   0.689000 0.608136   
0.241000 0.277450   0.718000 0.609081   
0.212000 0.259575   0.664000 0.606068   
0.180000 0.226703   0.592000 0.594781   
0.165000 0.191163   0.585000 0.576421   
0.176000 0.177933   0.602000 0.571064   
0.214000 0.177716   0.642000 0.576012   
0.206000 0.190731   0.657000 0.590892   
0.178000 0.172905   0.635000 0.570366   
0.145000 0.164712   0.595000 0.557616   
0.112000 0.154932   0.552000 0.540579   
0.080000 0.147645   0.509000 0.520861   
0.044000 0.142424   0.470000 0.499540   
0.043000 0.139392   0.443000 0.474745   
0.042000 0.138694   0.407000 0.463767   
0.060000 0.135237   0.368000 0.448828   
0.170000 0.147869   0.347000 0.424740   
0.334000 0.180462   0.335000 0.431380   
0.615000 0.257502   0.334000 0.448281   
0.653000 0.376239   0.340000 0.467045   
0.553000 0.407698   0.351000 0.469005   
0.477000 0.416600   0.366000 0.460797   
0.426000 0.432631   0.385000 0.442215   
0.398000 0.458310   0.383000 0.420357   
0.439000 0.481178   0.312000 0.391287   
0.471000 0.493696   0.279000 0.349874   
0.505000 0.512634   0.245000 0.326369   
0.541000 0.526500   0.209000 0.305196   
0.578000 0.533837   0.172000 0.287910   
0.617000 0.535243   0.133000 0.275847   
0.655000 0.529505   0.095000 0.270572   
0.691000 0.494321   0.086000 0.278650   
0.699000 0.491027   0.120000 0.288347   
0.674000 0.503668   0.135000 0.296705   
0.635000 0.511855   0.126000 0.295216   
0.588000 0.510892   0.118000 0.287797   
0.535000 0.507315   0.110000 0.280596   
0.490000 0.500362   0.122000 0.272742   
0.451000 0.494707   0.163000 0.274027   
0.468000 0.495707   0.208000 0.285487   
0.463000 0.497898   0.189000 0.320650   
0.470000 0.474371   0.235000 0.326775   
0.493000 0.474112   0.389000 0.360478   
0.517000 0.509911   0.544000 0.454586   
0.530000 0.536761   0.585000 0.544610   
0.536000 0.528189   0.594000 0.574472   
0.529000 0.510008   0.540000 0.590467   
0.445000 0.473739   0.523000 0.580027   
0.362000 0.421033   0.517000 0.570703   
0.282000 0.360281   0.568000 0.565583   
0.207000 0.306271   0.615000 0.577598   
0.142000 0.255684   0.659000 0.580148   
0.087000 0.217319   0.700000 0.576921   
0.044000 0.191445   0.743000 0.571544   
-0.012000 0.176517   0.740000 0.565601   
-0.017000 0.159590   0.750000 0.551397   
-0.023000 0.148646   0.750000 0.555277   
-0.028000 0.141109   0.750000 0.555585   
-0.031000 0.139443   0.734000 0.553376   
-0.034000 0.130779   0.682000 0.522610   
-0.036000 0.130463   0.613000 0.526782   
-0.038000 0.128979   0.533000 0.515180   
-0.041000 0.129622   0.453000 0.494059   
-0.035000 0.132203   0.401000 0.462746   
0.077000 0.143106   0.332000 0.431546   
0.197000 0.145902   0.314000 0.420185   
0.372000 0.189360   0.302000 0.425608   
0.569000 0.281342   0.296000 0.436858   
0.615000 0.379494   0.296000 0.441268   
0.572000 0.411569   0.301000 0.439824   
0.508000 0.421066   0.309000 0.435607   
0.459000 0.428054   0.321000 0.424966   
0.416000 0.440359   0.337000 0.410455   
0.363000 0.455747   0.387000 0.394365   
0.377000 0.478467   0.373000 0.388898   
0.403000 0.496229   0.347000 0.368907   
0.431000 0.512382   0.319000 0.345319   
0.431000 0.521638   0.319000 0.318691   
0.448000 0.537237   0.302000 0.300910   
0.479000 0.548768   0.271000 0.281642   
0.512000 0.556022   0.238000 0.261683   
0.547000 0.559085   0.203000 0.246615   
0.597000 0.557394   0.153000 0.236374   
0.658000 0.544920   0.125000 0.235527   
0.724000 0.531845   0.152000 0.250324   
0.750000 0.531310   0.135000 0.276849   
0.737000 0.520559   0.102000 0.285185   
0.688000 0.509849   0.091000 0.281636   
0.626000 0.511057   0.083000 0.270076   
0.558000 0.511497   0.075000 0.257246   
0.491000 0.507907   0.064000 0.244110   
0.440000 0.496134   0.071000 0.232709   
0.436000 0.483782   0.118000 0.230903   
0.462000 0.483415   0.170000 0.254291   
0.458000 0.485961   0.289000 0.291907   
0.446000 0.510424   0.469000 0.348312   
0.439000 0.547654   0.736000 0.447404   
0.439000 0.588419   0.625000 0.526928   
0.444000 0.542154   0.548000 0.530011   
0.455000 0.499634   0.493000 0.524355   
0.439000 0.463184   0.460000 0.517282   
0.364000 0.425799   0.453000 0.509311   
0.289000 0.373773   0.504000 0.505342   
0.220000 0.329828   0.550000 0.526771   
0.157000 0.285782   0.594000 0.539850   
0.113000 0.249060   0.637000 0.545887   
0.067000 0.224056   0.683000 0.551050   
0.039000 0.207425   0.726000 0.551013   
0.038000 0.197404   0.750000 0.552570   
0.029000 0.193395   0.750000 0.557859   
0.028000 0.191152   0.731000 0.554249   
0.027000 0.189491   0.692000 0.550244   
0.027000 0.187477   0.636000 0.541203   
0.028000 0.185665   0.569000 0.525096   
0.030000 0.187019   0.497000 0.497624   
0.049000 0.189829   0.440000 0.459344   
0.105000 0.198527   0.438000 0.423642   
0.190000 0.232778   0.458000 0.420771   
0.350000 0.285919   0.458000 0.435060   
0.628000 0.362728   0.461000 0.457328   
0.638000 0.472394   0.430000 0.483119   
0.553000 0.481447   0.466000 0.456013   
0.501000 0.495424   0.498000 0.446478   
0.482000 0.516483   0.411000 0.424717   
0.513000 0.509977   0.318000 0.346630   
0.572000 0.507400   0.227000 0.288149   
0.625000 0.502087   0.143000 0.257966   
0.673000 0.492088   0.077000 0.243646   
0.721000 0.484025   0.029000 0.238285   
0.750000 0.477738   -0.022000 0.238846   
0.750000 0.471456   -0.044000 0.236691   
0.750000 0.475980   -0.050000 0.226731   
0.750000 0.481016   -0.053000 0.220618   
0.750000 0.483476   -0.055000 0.218541   
0.750000 0.482752   -0.055000 0.220758   
0.750000 0.479072   -0.052000 0.227336   
0.702000 0.472551   -0.050000 0.238401   
0.597000 0.474052   -0.042000 0.234495   
0.494000 0.484899   -0.037000 0.209984   
0.423000 0.484420   -0.036000 0.189614   
0.343000 0.468725   0.048000 0.185447   
0.333000 0.466482   0.170000 0.179272   
0.326000 0.479252   0.372000 0.215188   
0.327000 0.517030   0.653000 0.306149   
0.334000 0.565221   0.607000 0.446432   
0.344000 0.534817   0.511000 0.458778   
0.359000 0.490367   0.440000 0.447090   
0.379000 0.451501   0.386000 0.436683   
0.349000 0.420326   0.401000 0.429502   
0.323000 0.392133   0.427000 0.445866   
0.294000 0.366429   0.456000 0.467842   
0.262000 0.339209   0.488000 0.491145   
0.228000 0.310664   0.522000 0.514281   
0.192000 0.282755   0.558000 0.536205   
0.165000 0.256618   0.585000 0.555346   
0.131000 0.235267   0.619000 0.568203   
0.093000 0.218488   0.657000 0.578670   
0.099000 0.208959   0.703000 0.583799   
0.131000 0.213654   0.750000 0.597173   
0.111000 0.227435   0.750000 0.613930   
0.096000 0.224796   0.750000 0.607428   
0.085000 0.229045   0.750000 0.599253   
0.076000 0.238632   0.743000 0.589482   
0.068000 0.244850   0.642000 0.566473   
0.060000 0.235569   0.550000 0.538723   
0.053000 0.230941   0.471000 0.496011   
0.051000 0.232212   0.412000 0.444291   
0.076000 0.240713   0.411000 0.396682   
0.125000 0.270456   0.421000 0.385020   
0.229000 0.305070   0.421000 0.385429   
0.352000 0.344835   0.418000 0.397235   
0.417000 0.399475   0.417000 0.410405   
0.417000 0.437783   0.417000 0.408367   
0.420000 0.454008   0.420000 0.390941   
0.423000 0.469994   0.423000 0.375608   
0.429000 0.484082   0.386000 0.357624   
0.443000 0.488053   0.342000 0.321899   
0.462000 0.491059   0.292000 0.288970   
0.484000 0.492682   0.266000 0.260277   
0.509000 0.506364   0.241000 0.228851   
0.538000 0.513280   0.212000 0.216172   
0.570000 0.516629   0.180000 0.209350   
0.607000 0.515920   0.143000 0.207746   
0.649000 0.509538   0.101000 0.213427   
0.698000 0.497131   0.117000 0.226041   
0.750000 0.493998   0.152000 0.243102   
0.722000 0.492383   0.129000 0.262911   
0.677000 0.491267   0.110000 0.255400   
0.624000 0.492511   0.096000 0.244546   
0.517000 0.494367   0.085000 0.232399   
0.750000 0.505915   -0.005000 0.087644   
0.731000 0.565103   0.739000 0.273755   
0.715000 0.720532   0.739000 0.431880   
0.714000 0.718464   0.737000 0.428833   
0.716000 0.717257   0.733000 0.428922   
0.716000 0.716758   0.728000 0.428933   
0.717000 0.716252   0.721000 0.427523   
0.717000 0.715763   0.714000 0.425540   
0.717000 0.715341   0.706000 0.422844   
0.717000 0.714767   0.697000 0.419747   
0.717000 0.714396   0.687000 0.415636   
0.718000 0.714018   0.677000 0.410816   
0.719000 0.714028   0.667000 0.405501   
0.719000 0.714157   0.656000 0.399661   
0.720000 0.713984   0.644000 0.393021   
0.718000 0.714365   0.633000 0.385492   
0.717000 0.714190   0.622000 0.377589   
0.717000 0.714332   0.611000 0.369100   
0.718000 0.714781   0.600000 0.360310   
0.719000 0.715337   0.586000 0.351296   
0.718000 0.715407   0.569000 0.341020   
0.719000 0.714762   0.550000 0.327599   
0.717000 0.714034   0.524000 0.313964   
0.715000 0.711745   0.496000 0.295190   
0.710000 0.708643   0.467000 0.275954   
0.701000 0.705136   0.439000 0.256497   
0.691000 0.700955   0.411000 0.237286   
0.675000 0.696483   0.383000 0.219571   
0.653000 0.690694   0.358000 0.202638   
0.621000 0.684266   0.337000 0.188059   
0.592000 0.675920   0.321000 0.175941   
0.576000 0.668185   0.309000 0.167798   
0.567000 0.663593   0.302000 0.164125   
0.563000 0.661829   0.281000 0.163713   
0.563000 0.658640   0.254000 0.159846   
0.563000 0.655156   0.228000 0.156707   
0.562000 0.651486   0.202000 0.156167   
0.569000 0.647024   0.197000 0.158123   
0.585000 0.646761   0.212000 0.168251   
0.605000 0.650206   0.221000 0.185522   
0.627000 0.650609   0.232000 0.205452   
0.649000 0.648437   0.244000 0.229955   
0.675000 0.644132   0.252000 0.256349   
0.702000 0.636256   0.265000 0.285443   
0.734000 0.628038   0.273000 0.316147   
0.750000 0.626875   0.264000 0.347722   
0.641000 0.613993   0.244000 0.367597   
0.550000 0.610988   0.224000 0.350046   
0.482000 0.598384   0.200000 0.336161   
0.447000 0.578100   0.232000 0.327404   
