//dist, ballAng, tarAng, coll, obstAng, spin, for0, for1
 153.059, 0.249, 0.259, 173.735, 0.180, -0.002, 0.387, 0.379
 151.824, 0.255, 0.256, 167.896, 0.187, -0.002, 0.383, 0.383
 146.211, 0.283, 0.226, 162.104, 0.193, -0.001, 0.345, 0.417
 140.804, 0.310, 0.194, 156.389, 0.198, 0.001, 0.261, 0.407
 135.605, 0.334, 0.161, 150.743, 0.200, 0.005, 0.168, 0.362
 130.679, 0.357, 0.126, 145.228, 0.198, 0.008, 0.089, 0.313
 126.092, 0.379, 0.090, 139.898, 0.195, 0.010, 0.017, 0.325
 121.867, 0.400, 0.053, 134.775, 0.190, 0.012, -0.000, 0.382
 117.973, 0.420, 0.015, 129.821, 0.182, 0.015, -0.016, 0.456
 114.322, 0.434, -0.025, 124.951, 0.168, 0.021, -0.061, 0.509
 110.853, 0.442, -0.065, 120.107, 0.146, 0.029, -0.110, 0.541
 107.569, 0.441, -0.106, 115.279, 0.115, 0.038, -0.163, 0.585
 104.453, 0.433, -0.148, 110.460, 0.075, 0.047, -0.182, 0.604
 101.488, 0.416, -0.191, 105.647, 0.025, 0.056, -0.170, 0.567
 98.685, 0.390, -0.233, 100.855, -0.034, 0.064, -0.121, 0.514
 96.057, 0.358, -0.276, 96.140, -0.102, 0.071, -0.096, 0.469
 93.672, 0.321, -0.318, 91.581, -0.175, 0.075, -0.155, 0.508
 91.543, 0.280, -0.360, 87.190, -0.253, 0.079, -0.062, 0.557
 89.604, 0.232, -0.400, 82.948, -0.337, 0.084, -0.008, 0.662
 87.775, 0.177, -0.439, 78.840, -0.431, 0.090, 0.069, 0.750
 85.973, 0.114, -0.477, 74.797, -0.533, 0.096, 0.168, 0.750
 84.116, 0.047, -0.513, 70.821, -0.642, 0.099, 0.288, 0.750
 82.164, -0.024, -0.546, 66.959, -0.757, 0.100, 0.384, 0.750
 80.088, -0.097, -0.577, 63.226, -0.877, 0.100, 0.383, 0.750
 77.907, -0.173, -0.605, 59.773, -1.003, 0.100, 0.382, 0.750
 75.640, -0.253, -0.629, 56.700, -1.134, 0.100, 0.381, 0.644
 73.316, -0.335, -0.650, 54.057, -1.271, 0.099, 0.377, 0.526
 70.995, -0.416, -0.668, 51.866, -1.409, 0.095, 0.363, 0.449
 68.747, -0.492, -0.683, 50.171, -1.543, 0.088, 0.355, 0.404
 66.595, -0.564, -0.696, 48.978, -1.672, 0.081, 0.445, 0.440
 64.568, -0.633, -0.706, 48.351, -1.796, 0.074, 0.461, 0.464
 62.639, -0.699, -0.713, 48.303, -1.916, 0.070, 0.424, 0.461
 60.828, -0.764, -0.716, 48.826, -2.030, 0.065, 0.391, 0.460
 59.129, -0.826, -0.717, 49.876, -2.138, 0.059, 0.359, 0.475
 57.561, -0.889, -0.714, 51.479, -2.241, 0.056, 0.329, 0.497
 56.118, -0.954, -0.707, 53.628, -2.340, 0.054, 0.302, 0.513
 54.854, -1.021, -0.696, 56.310, -2.433, 0.053, 0.279, 0.525
 53.769, -1.091, -0.682, 59.435, -2.523, 0.052, 0.258, 0.534
 52.852, -1.163, -0.665, 62.908, -2.608, 0.052, 0.241, 0.540
 52.146, -1.239, -0.646, 66.693, -2.691, 0.053, 0.228, 0.542
 51.662, -1.318, -0.624, 70.747, -2.772, 0.054, 0.219, 0.539
 51.421, -1.401, -0.601, 75.020, -2.851, 0.056, 0.254, 0.524
 51.488, -1.487, -0.576, 79.475, -2.928, 0.058, 0.315, 0.498
 52.000, -1.573, -0.550, 84.142, -3.000, 0.057, 0.377, 0.330
 52.985, -1.655, -0.524, 88.942, -3.063, 0.052, 0.435, 0.237
 54.383, -1.728, -0.499, 93.788, -3.114, 0.044, 0.485, 0.165
 56.089, -1.790, -0.474, 98.649, 3.128, 0.035, 0.505, 0.125
 58.091, -1.842, -0.452, 103.505, 3.099, 0.026, 0.521, 0.063
 60.384, -1.884, -0.431, 108.349, 3.081, 0.017, 0.538, -0.012
 62.863, -1.914, -0.411, 113.176, 3.073, 0.007, 0.576, -0.092
 65.465, -1.934, -0.393, 117.983, 3.075, -0.002, 0.604, -0.178
 68.223, -1.943, -0.376, 122.776, 3.087, -0.011, 0.622, -0.269
 71.000, -1.941, -0.361, 127.566, 3.109, -0.021, 0.618, -0.328
 73.837, -1.929, -0.346, 132.352, 3.140, -0.030, 0.607, -0.385
 76.684, -1.907, -0.332, 137.126, -3.103, -0.039, 0.585, -0.289
 79.450, -1.875, -0.318, 141.876, -3.054, -0.048, 0.558, -0.264
 82.081, -1.835, -0.305, 146.569, -2.999, -0.056, 0.526, -0.225
 84.569, -1.788, -0.293, 151.170, -2.937, -0.063, 0.492, -0.170
 86.867, -1.733, -0.281, 155.656, -2.870, -0.069, 0.457, -0.117
 88.981, -1.673, -0.271, 160.001, -2.799, -0.075, 0.432, -0.065
 90.911, -1.608, -0.261, 164.174, -2.724, -0.078, 0.419, -0.019
 92.664, -1.539, -0.253, 168.187, -2.648, -0.080, 0.419, 0.007
 94.250, -1.469, -0.245, 172.014, -2.572, -0.081, 0.423, 0.035
 95.620, -1.398, -0.239, 175.624, -2.497, -0.081, 0.427, 0.068
 96.742, -1.328, -0.234, 179.012, -2.423, -0.079, 0.434, 0.105
 97.502, -1.260, -0.229, 182.162, -2.353, -0.076, 0.444, 0.146
 97.929, -1.194, -0.224, 185.124, -2.288, -0.073, 0.455, 0.189
 98.101, -1.132, -0.219, 188.032, -2.226, -0.071, 0.463, 0.235
 97.994, -1.071, -0.214, 190.861, -2.167, -0.069, 0.471, 0.283
 97.634, -1.014, -0.208, 193.635, -2.112, -0.066, 0.481, 0.299
 97.060, -0.960, -0.202, 196.380, -2.059, -0.063, 0.491, 0.290
